Scotland's Census 2011 - National Records of Scotland
Table KS604SCb - Hours worked
All people aged 16 to 74 in employment the week before the census

,All people aged 16 to 74 in employment,All people: Part-time: 1 to 5 hours,All people: Part-time: 6 to 15 hours,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 37 hours,All people: Full-time: 38 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 1 to 5 hours,All males: Part-time: 6 to 15 hours,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 37 hours,All males: Full-time: 38 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 1 to 5 hours,All females: Part-time: 6 to 15 hours,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 37 hours,All females: Full-time: 38 to 48 hours,All females: Full-time: 49 hours or more
Scottish Borders,"54,598",590,"3,606","12,427","9,616","20,975","7,384","28,422",166,851,"2,742","4,209","14,556","5,898","26,176",424,"2,755","9,685","5,407","6,419","1,486"
Shetland Islands,"12,961",156,900,"2,546","2,709","4,674","1,976","6,907",36,201,443,"1,154","3,383","1,690","6,054",120,699,"2,103","1,555","1,291",286
South Ayrshire,"50,058",478,"3,311","11,763","10,066","18,181","6,259","25,348",172,869,"2,694","4,468","12,146","4,999","24,710",306,"2,442","9,069","5,598","6,035","1,260"
South Lanarkshire,"150,954",990,"7,791","31,147","34,848","59,934","16,244","76,809",313,"2,181","6,537","15,138","39,427","13,213","74,145",677,"5,610","24,610","19,710","20,507","3,031"
Stirling,"42,171",516,"3,187","8,990","8,041","15,633","5,804","21,428",160,950,"1,962","3,523","10,305","4,528","20,743",356,"2,237","7,028","4,518","5,328","1,276"
West Dunbartonshire,"41,004",252,"2,211","9,078","11,432","14,929","3,102","20,402",103,640,"1,942","5,282","9,938","2,497","20,602",149,"1,571","7,136","6,150","4,991",605
West Lothian,"86,663",534,"4,182","17,378","18,582","37,352","8,635","44,709",142,"1,122","3,454","8,494","24,628","6,869","41,954",392,"3,060","13,924","10,088","12,724","1,766"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas.  Some cell values will be affected, particularly small values at the most detailed geographies."

